dealer_id,date,interaction_type,notes,duration_mins
D007,2024-10-22,Dealer Visit,Addressed complaints related to warranty delays.,70
D007,2024-04-20,Email,Talked about EV potential in the region.,33
D007,2024-06-15,Call,Discussed sales performance and incentives.,51
D007,2024-04-28,Video Call,Addressed complaints related to warranty delays.,53
D007,2024-01-01,Review Meeting,Discussed sales performance and incentives.,38
D008,2024-01-04,Dealer Visit,Talked about EV potential in the region.,89
D008,2024-03-02,Call,Reviewed service quality and customer feedback.,25
D008,2024-03-17,Review Meeting,Reviewed service quality and customer feedback.,28
D008,2024-01-26,Email,Discussed sales performance and incentives.,26
D008,2024-04-04,Video Call,Reviewed service quality and customer feedback.,47
D008,2024-10-18,Review Meeting,Reviewed service quality and customer feedback.,83
D008,2024-03-22,Review Meeting,Aligned on quarterly targets and marketing support.,35
D008,2024-04-07,Review Meeting,Talked about EV potential in the region.,16
D008,2024-04-10,Email,Reviewed service quality and customer feedback.,21
D008,2024-09-03,Call,Addressed complaints related to warranty delays.,38
D008,2024-11-23,Video Call,Discussed sales performance and incentives.,80
D008,2024-11-01,Call,Aligned on quarterly targets and marketing support.,38
D008,2024-12-27,Dealer Visit,Discussed sales performance and incentives.,58
D009,2024-02-18,Video Call,Addressed complaints related to warranty delays.,10
D009,2024-12-14,Review Meeting,Addressed complaints related to warranty delays.,61
D009,2024-08-17,Email,Talked about EV potential in the region.,67
D009,2024-01-31,Call,Talked about EV potential in the region.,33
D009,2024-02-22,Email,Aligned on quarterly targets and marketing support.,16
D009,2024-04-11,Dealer Visit,Talked about EV potential in the region.,87
D009,2024-04-23,Review Meeting,Aligned on quarterly targets and marketing support.,25
D009,2024-10-20,Email,Reviewed service quality and customer feedback.,41
D009,2024-03-13,Review Meeting,Aligned on quarterly targets and marketing support.,89
D009,2024-11-17,Call,Addressed complaints related to warranty delays.,42
D009,2024-11-18,Video Call,Reviewed service quality and customer feedback.,85
D009,2024-09-04,Call,Discussed sales performance and incentives.,57
D010,2024-11-03,Video Call,Reviewed service quality and customer feedback.,36
D010,2024-11-10,Email,Reviewed service quality and customer feedback.,81
D010,2024-03-05,Email,Talked about EV potential in the region.,30
D010,2024-05-22,Video Call,Discussed sales performance and incentives.,41
D010,2024-10-09,Call,Discussed sales performance and incentives.,63
D010,2024-06-27,Video Call,Aligned on quarterly targets and marketing support.,86
D010,2024-04-16,Video Call,Talked about EV potential in the region.,57
D010,2024-10-19,Call,Reviewed service quality and customer feedback.,64
D010,2024-10-10,Call,Reviewed service quality and customer feedback.,13
D010,2024-05-18,Email,Aligned on quarterly targets and marketing support.,17
D010,2024-01-18,Review Meeting,Addressed complaints related to warranty delays.,88
D010,2024-09-13,Review Meeting,Aligned on quarterly targets and marketing support.,49
D010,2024-10-23,Call,Discussed sales performance and incentives.,48
D010,2024-11-04,Call,Talked about EV potential in the region.,52
D010,2024-09-13,Review Meeting,Discussed sales performance and incentives.,77
D010,2024-07-02,Review Meeting,Addressed complaints related to warranty delays.,36
D010,2024-09-24,Video Call,Aligned on quarterly targets and marketing support.,55
D011,2024-05-07,Call,Talked about EV potential in the region.,69
D011,2024-04-15,Email,Aligned on quarterly targets and marketing support.,25
D011,2024-06-27,Call,Addressed complaints related to warranty delays.,37
D011,2024-03-24,Dealer Visit,Addressed complaints related to warranty delays.,34
D011,2024-06-13,Review Meeting,Reviewed service quality and customer feedback.,71
D011,2024-01-21,Email,Reviewed service quality and customer feedback.,20
D011,2024-06-22,Dealer Visit,Talked about EV potential in the region.,61
D011,2024-07-08,Video Call,Talked about EV potential in the region.,68
D011,2024-05-21,Email,Reviewed service quality and customer feedback.,52
D011,2024-07-29,Call,Reviewed service quality and customer feedback.,55
D011,2024-05-17,Email,Talked about EV potential in the region.,15
D011,2024-01-18,Email,Talked about EV potential in the region.,26
D011,2024-02-09,Email,Discussed sales performance and incentives.,43
D011,2024-02-19,Video Call,Talked about EV potential in the region.,29
D011,2024-12-19,Dealer Visit,Aligned on quarterly targets and marketing support.,36
D011,2024-11-19,Review Meeting,Addressed complaints related to warranty delays.,51
D011,2024-05-13,Dealer Visit,Aligned on quarterly targets and marketing support.,51
D012,2024-04-12,Call,Reviewed service quality and customer feedback.,73
D012,2024-06-30,Video Call,Discussed sales performance and incentives.,43
D012,2024-04-16,Email,Talked about EV potential in the region.,21
D012,2024-05-07,Review Meeting,Aligned on quarterly targets and marketing support.,65
D012,2024-03-15,Video Call,Aligned on quarterly targets and marketing support.,10
D012,2024-01-17,Video Call,Aligned on quarterly targets and marketing support.,79
D012,2024-05-12,Review Meeting,Reviewed service quality and customer feedback.,62
D012,2024-04-20,Video Call,Talked about EV potential in the region.,40
D012,2024-06-24,Review Meeting,Reviewed service quality and customer feedback.,55
D012,2024-02-06,Email,Talked about EV potential in the region.,41
D012,2024-06-27,Dealer Visit,Aligned on quarterly targets and marketing support.,85
D012,2024-10-17,Video Call,Talked about EV potential in the region.,74
D012,2024-09-24,Email,Addressed complaints related to warranty delays.,19
D012,2024-08-15,Dealer Visit,Talked about EV potential in the region.,60
D012,2024-05-15,Email,Talked about EV potential in the region.,83
D012,2024-10-25,Email,Talked about EV potential in the region.,17
D012,2024-07-21,Call,Addressed complaints related to warranty delays.,39
D012,2024-07-30,Dealer Visit,Addressed complaints related to warranty delays.,60
D013,2024-09-17,Review Meeting,Reviewed service quality and customer feedback.,84
D013,2024-07-21,Review Meeting,Discussed sales performance and incentives.,88
D013,2024-06-25,Email,Reviewed service quality and customer feedback.,41
D013,2024-05-08,Email,Talked about EV potential in the region.,15
D013,2024-05-13,Call,Aligned on quarterly targets and marketing support.,46
D013,2024-05-28,Email,Reviewed service quality and customer feedback.,11
D013,2024-11-07,Video Call,Reviewed service quality and customer feedback.,36
D013,2024-09-19,Video Call,Reviewed service quality and customer feedback.,31
D013,2024-07-30,Email,Aligned on quarterly targets and marketing support.,60
D013,2024-11-13,Call,Aligned on quarterly targets and marketing support.,55
D013,2024-12-04,Review Meeting,Aligned on quarterly targets and marketing support.,58
D013,2024-03-19,Review Meeting,Aligned on quarterly targets and marketing support.,83
D013,2024-02-26,Review Meeting,Addressed complaints related to warranty delays.,36
D013,2024-08-22,Email,Addressed complaints related to warranty delays.,74
D013,2024-08-31,Call,Talked about EV potential in the region.,68
D013,2024-07-10,Review Meeting,Addressed complaints related to warranty delays.,80
D013,2024-12-11,Call,Discussed sales performance and incentives.,72
D013,2024-04-06,Dealer Visit,Talked about EV potential in the region.,27
D013,2024-03-25,Dealer Visit,Addressed complaints related to warranty delays.,37
D013,2024-02-08,Call,Addressed complaints related to warranty delays.,78
D013,2024-11-05,Email,Talked about EV potential in the region.,29
D013,2024-11-08,Email,Discussed sales performance and incentives.,88
D013,2024-10-03,Call,Discussed sales performance and incentives.,33
D014,2024-08-09,Video Call,Reviewed service quality and customer feedback.,70
D014,2024-04-02,Review Meeting,Addressed complaints related to warranty delays.,84
D014,2024-05-10,Review Meeting,Addressed complaints related to warranty delays.,28
D014,2024-09-14,Review Meeting,Reviewed service quality and customer feedback.,89
D014,2024-04-16,Email,Talked about EV potential in the region.,43
D015,2024-11-12,Email,Aligned on quarterly targets and marketing support.,33
D015,2024-11-03,Review Meeting,Addressed complaints related to warranty delays.,30
D015,2024-06-02,Dealer Visit,Talked about EV potential in the region.,28
D015,2024-11-02,Call,Aligned on quarterly targets and marketing support.,59
D015,2024-02-22,Call,Talked about EV potential in the region.,44
D015,2024-10-13,Email,Discussed sales performance and incentives.,28
D015,2024-02-07,Call,Reviewed service quality and customer feedback.,73
D015,2024-07-29,Video Call,Talked about EV potential in the region.,37
D015,2024-02-28,Video Call,Aligned on quarterly targets and marketing support.,74
D015,2024-12-29,Dealer Visit,Addressed complaints related to warranty delays.,38
D015,2024-11-15,Email,Talked about EV potential in the region.,84
D015,2024-02-02,Email,Discussed sales performance and incentives.,70
D015,2024-10-18,Email,Aligned on quarterly targets and marketing support.,62
D015,2024-07-28,Video Call,Discussed sales performance and incentives.,40
D015,2024-02-23,Video Call,Discussed sales performance and incentives.,13
D015,2024-07-18,Call,Discussed sales performance and incentives.,33
D015,2024-03-12,Video Call,Discussed sales performance and incentives.,40
D015,2024-07-04,Dealer Visit,Reviewed service quality and customer feedback.,60
D015,2024-05-03,Review Meeting,Reviewed service quality and customer feedback.,23
D016,2024-01-13,Review Meeting,Reviewed service quality and customer feedback.,82
D016,2024-12-23,Video Call,Addressed complaints related to warranty delays.,69
D016,2024-08-03,Email,Aligned on quarterly targets and marketing support.,37
D016,2024-05-31,Dealer Visit,Aligned on quarterly targets and marketing support.,61
D016,2024-07-04,Dealer Visit,Reviewed service quality and customer feedback.,45
D016,2024-09-14,Email,Aligned on quarterly targets and marketing support.,37
D016,2024-04-21,Call,Addressed complaints related to warranty delays.,82
D016,2024-01-12,Dealer Visit,Aligned on quarterly targets and marketing support.,14
D016,2024-04-20,Review Meeting,Aligned on quarterly targets and marketing support.,80
D016,2024-03-09,Email,Discussed sales performance and incentives.,19
D016,2024-06-18,Dealer Visit,Reviewed service quality and customer feedback.,11
D016,2024-07-28,Video Call,Discussed sales performance and incentives.,47
D016,2024-06-27,Review Meeting,Discussed sales performance and incentives.,69
D016,2024-07-31,Review Meeting,Reviewed service quality and customer feedback.,21
D016,2024-06-10,Video Call,Talked about EV potential in the region.,72
D016,2024-01-13,Dealer Visit,Aligned on quarterly targets and marketing support.,60
D016,2024-02-26,Call,Talked about EV potential in the region.,76
D016,2024-01-17,Email,Addressed complaints related to warranty delays.,70
D016,2024-09-03,Video Call,Addressed complaints related to warranty delays.,22
D016,2024-08-28,Email,Addressed complaints related to warranty delays.,47
D016,2024-01-18,Email,Addressed complaints related to warranty delays.,76
D016,2024-02-26,Call,Talked about EV potential in the region.,33
D016,2024-06-29,Video Call,Aligned on quarterly targets and marketing support.,88
D017,2024-09-11,Review Meeting,Reviewed service quality and customer feedback.,81
D017,2024-02-14,Video Call,Addressed complaints related to warranty delays.,28
D017,2024-10-06,Review Meeting,Discussed sales performance and incentives.,64
D017,2024-12-28,Dealer Visit,Talked about EV potential in the region.,77
D017,2024-05-10,Call,Reviewed service quality and customer feedback.,17
D017,2024-06-06,Video Call,Discussed sales performance and incentives.,45
D018,2024-11-03,Dealer Visit,Talked about EV potential in the region.,20
D018,2024-04-04,Dealer Visit,Addressed complaints related to warranty delays.,12
D018,2024-05-29,Email,Aligned on quarterly targets and marketing support.,82
D018,2024-07-06,Review Meeting,Reviewed service quality and customer feedback.,80
D018,2024-10-03,Review Meeting,Aligned on quarterly targets and marketing support.,17
D018,2024-10-29,Email,Reviewed service quality and customer feedback.,41
D018,2024-07-23,Email,Addressed complaints related to warranty delays.,20
D018,2024-10-03,Dealer Visit,Addressed complaints related to warranty delays.,37
D018,2024-06-24,Dealer Visit,Aligned on quarterly targets and marketing support.,45
D018,2024-01-14,Video Call,Reviewed service quality and customer feedback.,10
D018,2024-08-02,Dealer Visit,Talked about EV potential in the region.,71
D018,2024-07-20,Email,Addressed complaints related to warranty delays.,43
D018,2024-11-23,Call,Talked about EV potential in the region.,52
D018,2024-08-04,Call,Aligned on quarterly targets and marketing support.,64
D018,2024-02-09,Dealer Visit,Reviewed service quality and customer feedback.,35
D019,2024-01-14,Email,Addressed complaints related to warranty delays.,44
D019,2024-05-07,Review Meeting,Aligned on quarterly targets and marketing support.,85
D019,2024-12-02,Email,Aligned on quarterly targets and marketing support.,66
D019,2024-08-15,Email,Aligned on quarterly targets and marketing support.,82
D019,2024-11-05,Email,Reviewed service quality and customer feedback.,18
D019,2024-02-09,Call,Addressed complaints related to warranty delays.,41
D019,2024-09-24,Call,Reviewed service quality and customer feedback.,82
D019,2024-01-01,Video Call,Discussed sales performance and incentives.,32
D019,2024-05-25,Video Call,Reviewed service quality and customer feedback.,36
D019,2024-12-19,Review Meeting,Talked about EV potential in the region.,88
D019,2024-12-28,Dealer Visit,Aligned on quarterly targets and marketing support.,64
D019,2024-10-20,Review Meeting,Aligned on quarterly targets and marketing support.,34
D019,2024-06-21,Review Meeting,Addressed complaints related to warranty delays.,61
D019,2024-05-22,Call,Addressed complaints related to warranty delays.,79
D019,2024-08-22,Call,Talked about EV potential in the region.,87
D019,2024-01-16,Review Meeting,Talked about EV potential in the region.,47
D019,2024-08-10,Review Meeting,Discussed sales performance and incentives.,51
D019,2024-10-28,Email,Addressed complaints related to warranty delays.,13
D019,2024-05-30,Dealer Visit,Aligned on quarterly targets and marketing support.,22
D019,2024-11-30,Call,Reviewed service quality and customer feedback.,76
D019,2024-08-09,Video Call,Discussed sales performance and incentives.,62
D020,2024-01-09,Email,Talked about EV potential in the region.,70
D020,2024-08-24,Video Call,Discussed sales performance and incentives.,85
D020,2024-05-15,Email,Discussed sales performance and incentives.,36
D020,2024-03-22,Dealer Visit,Reviewed service quality and customer feedback.,56
D020,2024-02-24,Review Meeting,Talked about EV potential in the region.,31
D020,2024-03-01,Review Meeting,Aligned on quarterly targets and marketing support.,15
D020,2024-10-15,Dealer Visit,Addressed complaints related to warranty delays.,78
D020,2024-03-19,Dealer Visit,Reviewed service quality and customer feedback.,88
D020,2024-11-07,Dealer Visit,Discussed sales performance and incentives.,61
D020,2024-01-23,Review Meeting,Talked about EV potential in the region.,57
D020,2024-08-02,Review Meeting,Talked about EV potential in the region.,42
D020,2024-02-23,Review Meeting,Addressed complaints related to warranty delays.,52
D020,2024-11-26,Dealer Visit,Talked about EV potential in the region.,51
D020,2024-07-05,Video Call,Talked about EV potential in the region.,18
D020,2024-03-23,Review Meeting,Talked about EV potential in the region.,73
D020,2024-02-11,Review Meeting,Discussed sales performance and incentives.,84
D020,2024-12-19,Dealer Visit,Aligned on quarterly targets and marketing support.,69
D020,2024-01-02,Call,Talked about EV potential in the region.,52
D020,2024-06-06,Dealer Visit,Reviewed service quality and customer feedback.,48
D021,2024-09-26,Dealer Visit,Reviewed service quality and customer feedback.,81
D021,2024-09-13,Video Call,Reviewed service quality and customer feedback.,62
D021,2024-07-31,Email,Aligned on quarterly targets and marketing support.,74
D021,2024-02-16,Dealer Visit,Addressed complaints related to warranty delays.,37
D021,2024-09-09,Video Call,Aligned on quarterly targets and marketing support.,64
D021,2024-07-13,Email,Aligned on quarterly targets and marketing support.,14
D021,2024-10-03,Call,Discussed sales performance and incentives.,81
D021,2024-05-10,Email,Addressed complaints related to warranty delays.,45
D021,2024-03-13,Video Call,Talked about EV potential in the region.,70
D021,2024-09-26,Email,Aligned on quarterly targets and marketing support.,64
D021,2024-06-29,Video Call,Addressed complaints related to warranty delays.,24
D021,2024-09-03,Call,Discussed sales performance and incentives.,77
D021,2024-03-09,Email,Talked about EV potential in the region.,43
D021,2024-07-07,Call,Addressed complaints related to warranty delays.,51
D021,2024-01-17,Email,Reviewed service quality and customer feedback.,56
D021,2024-12-11,Email,Reviewed service quality and customer feedback.,39
D021,2024-01-17,Email,Talked about EV potential in the region.,23
D021,2024-01-01,Video Call,Talked about EV potential in the region.,16
D021,2024-01-13,Video Call,Addressed complaints related to warranty delays.,78
D021,2024-05-09,Review Meeting,Reviewed service quality and customer feedback.,76
D021,2024-04-28,Review Meeting,Aligned on quarterly targets and marketing support.,43
D021,2024-05-26,Video Call,Discussed sales performance and incentives.,51
D021,2024-11-07,Call,Discussed sales performance and incentives.,76
D021,2024-10-01,Email,Discussed sales performance and incentives.,82
D022,2024-02-13,Call,Reviewed service quality and customer feedback.,40
D022,2024-06-06,Email,Aligned on quarterly targets and marketing support.,21
D022,2024-08-09,Call,Aligned on quarterly targets and marketing support.,82
D022,2024-08-25,Dealer Visit,Reviewed service quality and customer feedback.,24
D022,2024-12-14,Video Call,Reviewed service quality and customer feedback.,39
D022,2024-06-30,Video Call,Discussed sales performance and incentives.,53
D022,2024-03-02,Video Call,Talked about EV potential in the region.,72
D022,2024-07-29,Call,Talked about EV potential in the region.,79
D022,2024-07-07,Dealer Visit,Discussed sales performance and incentives.,80
D022,2024-01-24,Email,Talked about EV potential in the region.,48
D022,2024-05-12,Dealer Visit,Aligned on quarterly targets and marketing support.,86
D022,2024-03-01,Call,Discussed sales performance and incentives.,51
D022,2024-12-26,Call,Reviewed service quality and customer feedback.,64
D022,2024-02-17,Email,Discussed sales performance and incentives.,11
D023,2024-09-30,Dealer Visit,Addressed complaints related to warranty delays.,41
D023,2024-12-28,Dealer Visit,Addressed complaints related to warranty delays.,58
D023,2024-11-11,Email,Discussed sales performance and incentives.,47
D023,2024-06-08,Call,Talked about EV potential in the region.,74
D023,2024-01-19,Call,Aligned on quarterly targets and marketing support.,39
D023,2024-12-09,Dealer Visit,Aligned on quarterly targets and marketing support.,27
D024,2024-07-02,Call,Reviewed service quality and customer feedback.,42
D024,2024-08-24,Email,Discussed sales performance and incentives.,64
D024,2024-04-25,Call,Discussed sales performance and incentives.,83
D024,2024-12-13,Video Call,Talked about EV potential in the region.,55
D024,2024-10-05,Video Call,Reviewed service quality and customer feedback.,77
D024,2024-04-03,Email,Reviewed service quality and customer feedback.,31
D024,2024-11-02,Dealer Visit,Discussed sales performance and incentives.,57
D024,2024-01-07,Review Meeting,Addressed complaints related to warranty delays.,63
D024,2024-03-27,Call,Addressed complaints related to warranty delays.,46
D024,2024-04-17,Dealer Visit,Aligned on quarterly targets and marketing support.,26
D024,2024-12-14,Video Call,Reviewed service quality and customer feedback.,37
D025,2024-07-09,Dealer Visit,Aligned on quarterly targets and marketing support.,18
D025,2024-09-16,Review Meeting,Aligned on quarterly targets and marketing support.,70
D025,2024-10-02,Dealer Visit,Discussed sales performance and incentives.,54
D025,2024-09-11,Call,Reviewed service quality and customer feedback.,50
D025,2024-02-02,Call,Addressed complaints related to warranty delays.,88
D025,2024-12-02,Email,Talked about EV potential in the region.,44
D025,2024-09-08,Email,Talked about EV potential in the region.,83
D025,2024-12-02,Dealer Visit,Reviewed service quality and customer feedback.,53
D025,2024-11-14,Video Call,Discussed sales performance and incentives.,31
D025,2024-01-09,Dealer Visit,Addressed complaints related to warranty delays.,89
D025,2024-01-05,Review Meeting,Addressed complaints related to warranty delays.,48
D025,2024-07-23,Review Meeting,Talked about EV potential in the region.,88
D025,2024-07-08,Call,Talked about EV potential in the region.,79
D025,2024-08-24,Dealer Visit,Addressed complaints related to warranty delays.,42
D025,2024-01-18,Review Meeting,Addressed complaints related to warranty delays.,80
D025,2024-04-20,Dealer Visit,Aligned on quarterly targets and marketing support.,20
D025,2024-11-26,Video Call,Discussed sales performance and incentives.,17
D025,2024-11-14,Dealer Visit,Aligned on quarterly targets and marketing support.,57
D025,2024-01-18,Email,Discussed sales performance and incentives.,65
D025,2024-11-13,Dealer Visit,Aligned on quarterly targets and marketing support.,85
D026,2024-04-07,Review Meeting,Discussed sales performance and incentives.,73
D026,2024-11-30,Review Meeting,Discussed sales performance and incentives.,62
D026,2024-07-30,Video Call,Talked about EV potential in the region.,83
D026,2024-11-22,Dealer Visit,Aligned on quarterly targets and marketing support.,56
D026,2024-03-06,Review Meeting,Aligned on quarterly targets and marketing support.,79
D026,2024-09-17,Video Call,Addressed complaints related to warranty delays.,82
D026,2024-08-31,Dealer Visit,Aligned on quarterly targets and marketing support.,71
D026,2024-12-07,Call,Discussed sales performance and incentives.,56
D026,2024-11-06,Review Meeting,Discussed sales performance and incentives.,72
D026,2024-06-15,Call,Talked about EV potential in the region.,17
D026,2024-02-02,Dealer Visit,Discussed sales performance and incentives.,17
D026,2024-11-25,Call,Aligned on quarterly targets and marketing support.,26
D026,2024-12-23,Review Meeting,Talked about EV potential in the region.,80
D026,2024-06-23,Review Meeting,Aligned on quarterly targets and marketing support.,24
D026,2024-11-04,Email,Aligned on quarterly targets and marketing support.,81
D026,2024-03-26,Call,Addressed complaints related to warranty delays.,34
D026,2024-04-07,Review Meeting,Addressed complaints related to warranty delays.,68
D026,2024-05-23,Dealer Visit,Talked about EV potential in the region.,81
D027,2024-10-18,Call,Talked about EV potential in the region.,27
D027,2024-06-24,Call,Addressed complaints related to warranty delays.,34
D027,2024-04-08,Dealer Visit,Reviewed service quality and customer feedback.,35
D027,2024-03-31,Review Meeting,Talked about EV potential in the region.,21
D027,2024-12-23,Email,Addressed complaints related to warranty delays.,18
D027,2024-12-08,Call,Talked about EV potential in the region.,78
D027,2024-05-10,Email,Reviewed service quality and customer feedback.,45
D027,2024-04-02,Call,Reviewed service quality and customer feedback.,12
D027,2024-12-22,Call,Aligned on quarterly targets and marketing support.,56
D027,2024-01-09,Call,Aligned on quarterly targets and marketing support.,78
D027,2024-01-09,Review Meeting,Addressed complaints related to warranty delays.,52
D027,2024-08-30,Call,Talked about EV potential in the region.,16
D027,2024-06-16,Dealer Visit,Discussed sales performance and incentives.,77
D027,2024-11-02,Call,Reviewed service quality and customer feedback.,10
D027,2024-03-29,Call,Reviewed service quality and customer feedback.,15
D027,2024-06-15,Email,Talked about EV potential in the region.,67
D028,2024-02-08,Review Meeting,Addressed complaints related to warranty delays.,50
D028,2024-06-25,Video Call,Reviewed service quality and customer feedback.,64
D028,2024-10-21,Video Call,Reviewed service quality and customer feedback.,10
D028,2024-09-06,Video Call,Discussed sales performance and incentives.,88
D028,2024-03-26,Call,Talked about EV potential in the region.,65
D028,2024-12-10,Email,Talked about EV potential in the region.,16
D028,2024-02-13,Review Meeting,Discussed sales performance and incentives.,62
D029,2024-09-04,Video Call,Addressed complaints related to warranty delays.,80
D029,2024-10-27,Call,Aligned on quarterly targets and marketing support.,12
D029,2024-02-01,Email,Addressed complaints related to warranty delays.,42
D029,2024-06-05,Video Call,Discussed sales performance and incentives.,84
D029,2024-12-31,Email,Addressed complaints related to warranty delays.,32
D029,2024-02-27,Dealer Visit,Talked about EV potential in the region.,31
D029,2024-10-16,Dealer Visit,Talked about EV potential in the region.,19
D029,2024-08-05,Call,Addressed complaints related to warranty delays.,81
D029,2024-01-04,Call,Reviewed service quality and customer feedback.,25
D029,2024-04-04,Review Meeting,Discussed sales performance and incentives.,63
D029,2024-01-22,Call,Discussed sales performance and incentives.,84
D029,2024-05-19,Dealer Visit,Discussed sales performance and incentives.,68
D029,2024-10-16,Email,Talked about EV potential in the region.,44
D029,2024-01-30,Email,Reviewed service quality and customer feedback.,52
D029,2024-08-20,Dealer Visit,Discussed sales performance and incentives.,19
